nombre_municipio,poblacion_2020
Cáchira,11198
Cácota,2914
Chinácota,18858
Chitagá,12394
Convención,19647
Cucutilla,8475
Durania,4812
El Carmen,14043
El Tarra,21926
El Zulia,29392
Gramalote,7694
Hacarí,10603
Herrán,7326
Labateca,6574
La Esperanza,12373
La Playa (La Playa de Belén),8003
Los Patios,9722
Lourdes,4191
Mutiscua,453
Ocaña,129308
Pamplona,53909
Pamplonita,5793
Puerto Santander,9262
Ragonvalia,6339
Salazar (Salazar de Las Palmas),10728
San Calixto,12174
San Cayetano,779
San José de Cúcuta (Cúcuta),777106
Santiago,3667
Sardinata,26804
Silos,6546
Teorama,1767
Tibú,58721
Toledo,16325
Villa Caro,5303
Villa del Rosario,111254
Colón,553
Mocoa,58938
Orito,38744
Puerto Asís,67211
Puerto Caicedo,16007
Puerto Guzmán,36665
Puerto Leguízamo,29494
San Francisco,5567
San Miguel,19434
Santiago,7308
Sibundoy,15473
Valle del Guamuez,3466
Villagarzón,24096
Armenia,304764
Buenavista,3129
Calarcá,7489
Circasia,2906
Córdoba,5739
Filandia,12259
Génova,7447
La Tebaida,34803
Montenegro,37518
Pijao,5121
Quimbaya,31142
Salento,9529
Apía,12221
Balboa,6297
Belén de Umbría,24708
Dosquebradas,223782
Guática,1211
La Celia,7426
La Virginia,27981
Marsella,16716
Mistrató,17257
Pereira,477027
Pueblo Rico,1645
Quinchía,27274
Santa Rosa de Cabal,79372
Santuario,12434
Aguada,1867
Albania,4336
Aratoca,8487
Barbosa,32653
Barichara,10815
Barrancabermeja,210729
Betulia,6061
Bolívar,1098
Bucaramanga,607428
Cabrera,2021
California,2232
Capitanejo,5479
Carcasí,4259
Cepitá,2025
Cerrito,6933
Charalá,12272
Charta,2888
Chima,2866
Chipatá,5093
Cimitarra,34403
Concepción,5757
Confines,3294
Contratación,3699
Coromoro,5024
Curití,13283
El Carmen de Chucurí,2182
El Guacamayo,2085
El Peñón,5507
El Playón,14038
Encino,2583
Enciso,3445
Florián,5589
Floridablanca,307896
Galán,2891
Gámbita,4013
Girón (San Juan de Girón),171904
Guaca,5909
Guadalupe,4468
Guapotá,2413
Guavatá,4191
Güepsa,5309
Hato,237
Jesús María,3339
Jordán,1336
La Belleza,6178
Landázuri,10588
La Paz,4917
Lebrija,44169
Los Santos,14787
Macaravita,2104
Málaga,21672
Matanza,5035
Mogotes,10647
Molagavita,4106
Ocamonte,581
Oiba,11175
Onzaga,4082
Palmar,1407
Palmas del Socorro,2626
Páramo,4869
Piedecuesta,182959
Pinchote,5385
Puente Nacional,14844
Puerto Parra,8017
Puerto Wilches,34206
Rionegro,27062
Sabana de Torres,34556
San Andrés,8596
San Benito,2972
San Gil,5967
San Joaquín,2208
San José de Miranda,4289
San Miguel,2478
Santa Bárbara,2448
Santa Helena del Opón,3411
San Vicente de Chucurí,33593
Simacota,10226
